"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"MM20190830AP75X","2019-03-23","Myanmar Hao Yang International Garment Co Ltd","No 497 Padauk Street Shwe Lin Pan Industrial Zone Hlaing Thayar Township Yangon Region Yangon","MM","Myanmar",16.90383,96.06276,"Apparel","A Brand / Retailer|A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","","","","","","Women Wear|Men's wear|Kids Wear","False"
"MM20190831J3J81","2019-03-23","Jewoo Mfg Co Ltd","No 107108  Mya Malar Street  Thaketa Industrial Zone  Thaketa Township  Yaongon","MM","Myanmar",16.8086261,96.2011094,"Apparel","A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)","","","","","","","False"
"MM201908365SBKK","2025-03-28","Myanmar Postarion Co., Ltd","D/8 - No.3 Main Rd. Minagaldon Industrial Park, Mingalardon, Yangon","MM","Myanmar",16.9410111,96.1556426,"Apparel","A Brand / Retailer|A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|A Brand / Retailer|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","","","","","","Pants|Uniform","False"
"MM20190837MFMXC","2019-03-23","Shwe Zin Aye Garment & General Trading Co-Op Society Ltd","No56 U Pho Hlaing Street Shwe Pauk Kan Industrial Zone North Okkalapa Township Yangon","MM","Myanmar",16.8502222,96.0849574,"Apparel|Unspecified","A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|MANGO  (Historical Factories Mango)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|New Look Retailers (New Look Tier 1 Factory List May 2023)|A Civil Society Organization|A Multi-Stakeholder Initiative|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|A Brand / Retailer|A Civil Society Organization|A Brand / Retailer|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 10)|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","1001-5000","","Apparel","","","Jackets","False"
"MM20190837R58ZW","2022-05-25","Gainway International (Myanmar) Garment Co.,Ltd","Plot No.97-98, Pale Street, Myay Taing Block No.51, Thar Du Kan Industrial Zone, Shwepyithar Township, Yangon Region, Myanmar","MM","Myanmar",16.9877186632725,96.0896356553899,"Apparel|Multi-Category|Unspecified","Gainway Int'l (Myanmar) Garment Co., Ltd. (Claimed)|A Brand / Retailer|Undiz (UNDIZ-20250909)|A Brand / Retailer|A Multi-Stakeholder Initiative|Kappahl Group (KappAhl Manufacturing Facility List August 2020)|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Kappahl Group (KappAhl Manufacturing Facility List March 2021)|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Tesco Stores Ltd (Tesco F&F Facility List May 2022)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|H&M Group (Processing Factories - H&M Group 2022)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Etam Lingerie (Etam Factory List January 2023)|A Brand / Retailer|Worldly|H&M Group (Manufacturing Factories HM 2023)|A Brand / Retailer|H&M Group (H&M Processing Factories list from Feb 2023)|A Multi-Stakeholder Initiative|H&M Group (H&M Group Facilities list October2023)|H&M Group (H&M November Factory List)|A Brand / Retailer|MADE (MADE facility list for November 2023)|Etam Lingerie (factory list for ETAM)|Etam Lingerie (ETAM-202411)|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 11)|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)|A Brand / Retailer|A Brand / Retailer|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 8)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))|Undiz (factory list for UNDIZ-Mar.2025)|Gainway Int'l (Myanmar) Garment Co., Ltd.|A Civil Society Organization|SLCP (Social & Labor Convergence Program List 2025)","1097|1097","GAINWAY INTERNATIONAL (HONGKONG) COMPANY LIMITED","Manufacturing","Final Product Assembly","Manufacturing","Lingerie|Swimwears","False"
"MM20190837T3PQ2","2022-05-25","Twinkle Light Fashion Company Limited","Plot No.182-5, Block No.25, corner of Than Chet Wun U Nyunt Street and Bamaw Atwin Wun Street, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region, Myanmar","MM","Myanmar",16.9187958,96.064447,"Apparel|Multi-Category|Unspecified","Matalan (Matalan Facility List Jul 2025)|A Brand / Retailer|A Brand / Retailer|Matalan (Matalan Facility List January 2026)|A Brand / Retailer|A Brand / Retailer|MANGO  (Historical Factories Mango)|Worldly|A Brand / Retailer|A Brand / Retailer|MANGO  (MANGO Active Factory List December 2021)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|Matalan (Matalan Facility List July 2024)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Wikirate International e.V.|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|Matalan (Matalan Factory List Jan 2024)|MADE (MADE facility list for November 2023)|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 5)|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 10)|Matalan (Matalan Facility List Jan 2025)|A Brand / Retailer|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","995|995|1240|879|879|1240|995","","","","","Pants|Coat|Jackets","False"
"MM201908384ZD3C","2022-05-25","Roo Hsing Garment Manufacturing Company Limited","Plot No.2, Kyan Sittar Street, Hlaingtharya Industrial Zone (3), Hlaingtharya Township, Yangon Region, Myanmar","MM","Myanmar",16.8610069,96.0642396,"Apparel","A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 8)|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","","","","","","Pants|Jackets","False"
"MM20190839NFYTP","2019-03-23","Guotai Guohua Garment Myanmar Ltd","Plot 48 Ngwe Pinlae 2Nd Street Ngwe Pinlae Industrial Zone Hlaing Tharyar Township Yangon","MM","Myanmar",16.9293249,96.0588638,"Apparel|Unspecified","A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|MANGO  (Historical Factories Mango)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|MANGO  (MANGO Active Factory List December 2021)|MANGO  (MANGO Active Factory List December 2021)|MANGO  (MANGO Active Factory List December 2021)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Worldly|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)|A Brand / Retailer|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","","","","","","Pants|Jackets","False"
"MM2019083A9RJZD","2019-03-23","Smooth World International (Myanmar) Ltd","U Paing No 48  Kwin No 1186 (Tharyar Kone Kwin) Tharyar Kone Village  Bago Township Bago Region","MM","Myanmar",17.6469082,96.5621504,"Apparel|Multi-Category","A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)|A Brand / Retailer|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","","","","","","Underwear","False"
"MM2019083BCDEFJ","2019-03-24","YONGAN (MYANMAR) FASHION CO., LTD","U phoe Hlaing Street, Plot No. 409, Shwe Lin Ban Industrial zone  Hlaing Tharyar Township Yangon Yangon","MM","Myanmar",16.9026963,96.0752856,"Apparel|Apparel Accessories|Unspecified","A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Worldly|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|Kappahl Group (KappAhl Manufacturing Facility List August 2020)|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|Wikirate International e.V.|Myanmar Centre for Responsible Business (OAR facility list in Myanmar)|A Multi-Stakeholder Initiative|Fair Factories Clearinghouse (FFC Factory List Oct 2022)|A Brand / Retailer|Wikirate International e.V. (2019 Apparel Suppliers on Wikirate part 1)|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 10)|Gina Tricot [Public List] (Gina Tricot Tier 1 Facility List August 2022)|Myanmar Garment Manufacturers Association (MGMA) [Public List] (Myanmar Garment Manufacturers Association (Gathered March 2025))|Myanmar Trade Promotion Organization (Myantrade) [Public List] (Myantrade Directory of Exporters (as of March 2025))","951|260|951","","Final Assembly","Final Product Assembly","Final Product Assembly","Pants|Coat|Jackets|Shirt","False"
