Date,PubDate,Author,Title,Tags,URL,Content
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Workers at Chai Moon Sports (Myanmar) Forced to Sign Warnings for Refusing Overtime, Some DismissedMar 17, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/workers-at-chai-moon-sports-myanmar-forced-to-sign-warnings-for-refusing-overtime-some-dismissed,"Myo TheinMarch 15, 2026

Workers at the Chai Moon Sports (Myanmar) garment factory, located in Ward No. 13, Pathein Township, Ayeyarwady Region, say that those who refuse to work overtime on factory holidays are required to sign warning letters, and some workers have been dismissed.

“Lines 1, 2, 5, 6, and 7 are called most frequently for overtime. We have to sign warning letters if we don’t work overtime on holidays. On days when production is urgent, they call for overnight work, give no rest, and make us continue working into the next morning. The production targets are extremely high we don’t even have time to go to the toilet and have to keep sewing. Overtime is called continuously. When overtime is announced, they collect signatures, and if we don’t sign, we are scolded,” a worker said.

Workers also said that supervisors who oversee two lines each compete with one another due to personal conflicts, putting pressure on workers to meet targets for their own recognition. Discrimination in the workplace and frequent dismissals have led to a lack of job security.

“A line supervisor, Daw ———, discriminates against workers. Those she dislikes are easily dismissed, and after one or two days, new workers are hired. She also speaks to workers rudely,” said a worker from the factory.

After reports about workers’ conditions were published, workers said retaliation has increased, and management is secretly investigating who reported the information.

“Although there is a rule banning betel chewing in the factory and cleaners are assigned to monitor it, some people openly chew betel during working hours. If workers are caught chewing, they are made to sign warning letters. Announcements are made over loudspeakers to shame them, their staff ID cards are confiscated, and they are taken to the office, forced to open their mouths for photos, and those photos are posted at the factory entrance,” workers said.

The Chai Moon Sports (Myanmar) garment factory employs around 700 workers and produces for brands such as Karrimor and Campri. It is reportedly a branch of Haker.

Workers are calling on factory officials to take responsibility and address these issues.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Foreign Female Manager at Jiangsu Soho Myanmar Accused of Surveillance and Arbitrary DismissalsMar 17, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/foreign-female-manager-at-jiangsu-soho-myanmar-accused-of-surveillance-and-arbitrary-dismissals,"Myo TheinMarch 15, 2026

Workers say that at the Jiangsu Soho Myanmar Industry garment factory, a Chinese female manager is directly overseeing operations, monitoring workers, and dismissing them arbitrarily. They also said that clerks have been instructed to monitor workers, creating a high-pressure working environment.

“When the Chinese woman walks around the production lines, she scolds workers, takes photos, and then fires them the next day if she sees anyone standing or talking. Mainly, she dismisses immediately if she doesn’t like someone. The clerks follow her tone and behavior because she has instructed them to monitor us,” workers said.

Workers said that the foreign manager does not understand what workers are saying and dismisses them without valid reasons. They also said that workers are not allowed to sign their own overtime records, and when requesting gate passes, clerks respond rudely.

“We have to ask repeatedly to get a gate pass. Even when they agree, the clerks say things like ‘we’re too busy to deal with this’ or ‘why are you going out unnecessarily’ before giving it. As for overtime records, the clerks sign on behalf of workers. No matter how many overtime hours we work, they are the ones signing,” workers said.

Workers also said that when production targets set by the factory are not met, line supervisors and supervisors shout and verbally abuse them, and that this has become worse during the Thingyan period.

“The targets they set are unrealistic, so no production line can meet them. Supervisors and line leaders shout and scold us when we fail. They receive large Thingyan bonuses every year, so during this time, the exploitation and threats become worse. They have no sympathy for workers,” workers said.

Although the official start time is 7:30 AM, workers said they are required to enter the workplace five minutes earlier. They also said that they do not receive legally entitled leave and that absences result in deductions from daily wages and attendance bonuses.

Workers added that for the past two months, part of the 80,000 kyats snack allowance has been deducted, with only 30,000 kyats being paid instead of the full amount.

“From the 80,000 kyats snack allowance, 50,000 kyats is deducted, and we only receive 30,000 kyats for two months now. In reality, this ‘snack allowance’ is actually a skill allowance, but now it’s being cut. We are also forced to work overtime every day. We are not granted casual or medical leave. If we are marked absent, 15,000 kyats is deducted from our daily wage and attendance bonus,” workers said.

Workers also said that during lunch breaks, they are not allowed to rest inside the workplace and are only permitted to stay in the dining area, causing discomfort.

The Jiangsu Soho Myanmar Industry garment factory employs around 1,000 workers and is Chinese-owned. It is located at the intersection of U Pho Hlaing Road and Twin Thin Taik Wun U Tun Nyo Road in Shwe Lin Ban Industrial Zone, Hlaingtharyar Township, Yangon. The factory manufacturing brands including LC Waikiki (LCW Vision) and Sinsay Men, according to workers.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Earnest Myanmar Wool Factory Forces Daily Overtime and Pressures Workers to Double Output on SundaysMar 17, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/earnest-myanmar-wool-factory-forces-daily-overtime-and-pressures-workers-to-double-output-on-sundays,"I would like to report that at the Earnest Myanmar wool factory, we are being required to work overtime every day. The factory is located at the corner of U Pho Hlaing Road and Hospital Road 4, Shwe Lin Ban Industrial Zone, Hlaing Tharyar.

We do not even have time to go and file a complaint at the labor office as we have to work every day. What I want to report is that from Monday to Saturday, we have to work until 8 PM. Even though we are working overtime, we are not given a break even at 4 PM.

Although we are paid by piece rate, having to work overtime every day is not manageable for us.

We are afraid of being targeted and losing our jobs if we report this to the supervisors. We are also told that we must work 8 hours on Sundays, which are supposed to be rest days. When overtime is required, we are not informed in advance.

We understand that if we work on Sundays and public holidays, we should receive double daily wages. However, during a meeting, the employer told us that on Sundays we will only be paid based on how many pieces we sew, and we will not receive double daily wages.

They also said that even if we work on a holiday, we will not receive any overtime pay and will only be paid 10,000 kyats if we only sew pieces worth 10,000 kyats. Even though we are working on holidays, we are still only paid the normal piece rate. The employer said that if we want to earn double pay on holidays, we must sew double the amount.

We were told to work on the full moon day of Tabaung (March 2). The workers felt this was unfair and did not go to work. We did not receive any pay for that holiday. Since we are paid by piece rate, we have to sew even for holidays, and we are working under pressure.

In other factories, workers who work six days and rest one day still receive full wages. But for us, we only get paid for holidays if we are able to sew enough pieces. They are deceiving us by paying only piece rates.

Now we are also being told that we must work during the Thingyan holidays. They said that for those days, we will be paid 10,000 kyats per day along with piece rates. However, we want to return to our hometowns. If other workers go to work and we do not, we are afraid they will hold grudges against us.

We want the labor office officials and relevant authorities to know about this. We are truly suffering losses, so please help us.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Dishang Fashion (Myanmar) Garment Factory Forcing Workers to Make Up Thingyan Holidays, Workers SayMar 17, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/dishang-fashion-myanmar-garment-factory-forcing-workers-to-make-up-thingyan-holidays-workers-say,"Myo TheinMarch 14, 2026

Workers say that Dishang Fashion (Myanmar) garment factory is forcing employees to work make-up days for two Thingyan holidays, as the factory will be closed from April 10 to April 20 during the Thingyan period.

“The make-up days are set for March 15 and 29, which fall on Sundays. We are losing overtime pay and also not getting rest days. That’s why we refused to work,” a worker said.

Although workers had informed in advance that they could not work the substitute days, line supervisors and supervisors pressured them to sign agreements. In some departments, workers said they were repeatedly pressured until they signed.

“Some workers chose not to sign because they want to take the Thingyan holidays as scheduled and do not want to work substitute days,” another worker said.

Workers also submitted alternative arrangements for making up the holidays to the Workplace Coordination Committee (WCC), but were reportedly pressured to work only on the designated Sundays.

“We proposed counting a half-day Saturday shift as one substitute day, or paying Sunday work at overtime rates, or deducting the make-up days from regular overtime hours. None of it was accepted. The WCC is acting like the employer,” a worker said.

Workers also said there have been past reports that WCC members at the factory received financial support, and that such support is still ongoing. In addition, the factory has appointed three Code of Conduct (CoC) staff responsible for ensuring compliance with labor laws.

Workers said the relevant labor department has stated that complaints can be filed if wages are deducted for not working substitute days during the Thingyan holidays.

“Officials have said that we have the right not to work substitute days for holidays, and that we can file complaints if wages are deducted for not doing so,” a worker said.

Dishang Fashion (Myanmar) Co., Ltd garment factory is located on Min Gyi Maha Min Khaung Road, Shwe Than Lwin Industrial Zone, Hlaingtharyar Township, Yangon. The factory is Chinese-owned and employs over 900 workers, manufacturing garments for brands including ONLY, Pimkie, First Down, Java, a.v.v, niko and…, and Field Gear Club, according to workers.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Error,Error,"Dagon Talent Garment Forces Workers to Do 4 Hours Overtime Without Pay to Fund Supervisors’ TripMar 17, 2026",,https://www.myanmarlabournews.com/en/posts/dagon-talent-garment-forces-workers-to-do-4-hours-overtime-without-pay-to-fund-supervisors-trip,Failed to scrape
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Factory Manager Physically Assaults Workers at Kyay Oh Gyi Engine Oil FactoryMar 17, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/factory-manager-physically-assaults-workers-at-kyay-oh-gyi-engine-oil-factory,"I want to report the abusive behavior of the factory manager.

This happened at the Kyay Oh Gyi engine oil factory in the Myaung Takar Industrial Zone, Hmawbi Township. During the time I worked at the factory, I personally experienced, witnessed, and was aware of the manager bullying and verbally abusing the workers.

I was physically assaulted. On the morning of March 9, I was shouted at, threatened, and had my hair pulled.

Not only me, but also the junior workers under my supervision were cursed at and scolded harshly, without any regard for their dignity or family.

This is not something that happened to me alone. Almost all the workers in the factory have been subjected to such abuse.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"TMA Garment Factory Supervisor Deducting Piece-Rate WagesMar 13, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/tma-garment-factory-supervisor-deducting-piece-rate-wages,"Myo TheinMar 12, 2026

I am writing about the TMA garment factory. The factory is located on Myawaddy Mingyi Road, Industrial Zone 4, Hlaingtharyar. The supervisor, Daw Thida Soe, who oversees Lines 1, 2, and 3, has been deducting workers’ piece-rate wages every month instead of paying them in full. This has been happening for quite some time.

The payments are not made even when we meet the production targets and maintain full attendance. Only workers who have a good relationship with her receive the piece-rate wages.

Due to this, workers constantly have conflicts with the supervisor, and people are frequently joining and leaving the factory.

One of my friends from the line resigned in December, but the supervisor refused to pay more than 70,000 kyat in piece-rate wages that she had earned, saying she would not receive it as she had resigned. Sometimes she claims that the factory did not provide the payment, but in reality, the office has already issued the full amount.

The deductions of piece-rate wages have been happening for many months. The supervisor’s behavior is also very aggressive. Whenever we ask questions because we do not understand something, she curses at us. She always claims that everything is decided by the office.

There are also cases where she deliberately tries to push workers to quit by forcing them to accept compensation and leave the job. My friends who work as QC inspectors at the end of the line are constantly threatened with dismissal. She even threatens them, saying she will harm them through supernatural means.

No QC workers want to work on her production line anymore because of this behavior. Her close subordinate, the Line 2 supervisor, behaves the same way. New workers who join the factory cannot endure the situation for more than a few days because of the supervisor and the line leader.

The worst part is that she only favors workers who are close to her. Those workers receive the piece-rate payments and better positions, while the rest of us are treated unfairly. Even the garment inspectors at the end of the line often end up in tears.

Please help us with the injustices we are facing.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Zhong Ying Garment Factory Forces Workers to Work Overtime, Calls Them Back Even After Boarding TransportMar 13, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/zhong-ying-garment-factory-forces-workers-to-work-overtime-calls-them-back-even-after-boarding-transport,"Myo TheinMar 12, 2026

Workers say supervisors at Zhong Ying Co., Ltd garment factory follow workers onto factory transport vehicles to force them to work overtime. They also said a worker was dismissed for refusing to work overtime.

“I was already on the bus. The packing supervisor shouted, then called us back to work overtime. They said, ‘It’s urgent, you don’t need to go home.’ I didn’t go back because I hadn’t yet informed my family. A worker from the QC department explained that they couldn’t work overtime, but management did not accept the explanation and said, ‘You don’t need to come to work tomorrow,’” a worker said.

Workers said the dismissed worker had worked overtime throughout the previous week but was fired for refusing to work overtime on that single day.

Workers also said the factory does not inform them in advance about overtime work and forces them to work overnight whenever production is not completed.

“They don’t inform us in advance about overtime. They make us work all night if the garments are not finished. The next day we still have to return to work as usual. Our health becomes poor because we don’t get enough sleep. But we can’t refuse,” workers said.

Workers said that those who refuse overtime are told they are not suitable to continue working and are dismissed under the pretext that orders are low. They said workers are not informed in advance about the dismissal and are told to return at the end of the month to collect their wages.

Workers also said the wages promised during recruitment differ from the wages they actually receive.

“The salary they tell us during the interview is one thing, but the amount paid at the end of the month is different. We have to work the entire month without missing a day. We earn just over 400,000 kyat even with overtime. We don’t even know how the salary is calculated. Sometimes they add the piece-rate bonus, sometimes they don’t,” workers said.

Workers said factory manager Daw San San Win told them the monthly skill bonus they had worked for through overtime would not be paid.

“They said they could not pay even one kyat of the skill bonus, saying that orders were delayed because of us,” workers said.

Workers added that if the production targets demanded by the factory are not met, line leaders warn that workers will not receive any piece-rate bonuses.

Workers also said many underage children aged 12, 13, and 14 are employed at the factory and are required to perform the same work as adult workers but are paid lower wages.

“They make them do the same work, but the children only receive a daily wage of 7,800 kyat. The children also have to work overnight and are not allowed to rest the next morning, they must continue working. The children develop dark circles under their eyes as they have to work continuously, become thin, and fall ill,” workers said.

Workers also said there is no clinic inside the workplace. They sometimes request medicineas they work overtime and do not get enough sleep but are unable to receive it.

They also reported that casual leave and sick leave are not granted, and that daily wages, attendance bonuses, and other benefits are deducted.

Workers further said that when factory transport vehicles collided with each other and workers were injured, the factory ignored the injured workers and did not inquire about the incident.

Zhong Ying Co., Ltd consists of three factory buildings and employs more than 300 workers. The Chinese-owned garment factory is located on Bogyoke Road, Industrial Zone 2, Hlaingtharyar Township, Yangon, and produces garments for the Cool Club brand, according to workers.

Photo – Child workers inside Zhong Ying Co., Ltd factory

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Lat War Co., Ltd (3) to Close, Says Compensation Will Only Be Paid to Workers With One Year of ServiceMar 13, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/lat-war-co-ltd-3-to-close-says-compensation-will-only-be-paid-to-workers-with-one-year-of-service,"Myo TheinMar 12, 2026

Workers say the Lat War Co., Ltd (3) garment factory will close in April and that the factory has stated compensation will only be paid to workers who have completed one year of service.

“The factory informed us that it will close on April 3. For closure compensation, they said only workers who have completed one year of service will receive compensation, while workers who have worked more than six months but less than one year will not receive anything. They also said the compensation will be calculated based only on 7,800 kyat,” workers said.

Workers also reported that because the factory will be shutting down, Chinese supervisors and line leaders inside the workplace have been increasing pressure on workers and are more frequently shouting at and verbally abusing them.

The Industrial Workers’ Federation of Myanmar (IWFM) said that paying compensation only to workers who have completed one year of service would violate labor law.

“According to the workers’ statements, it means compensation would only be given after completing one full year. Under the law, workers who have worked six months must receive half a month’s salary as compensation, while workers who have worked one year must receive one month’s salary. This is clearly stipulated in the law. Calculating compensation based on 7,800 kyat is also incorrect because workers’ pay slips include allowances that must be added to the 7,800 kyat. Those payments are already part of the wages workers receive and that the employer regularly pays,” an IWFM official said.

The employment contract states that if a factory closes or the employer suspends operations, it is the employer’s responsibility to provide compensation and benefits to workers based on their length of service.

Workers also said that more than 60 underage workers are being employed inside the factory, and that management is demanding production targets that current workers cannot realistically meet.

“The supervisors and line leaders verbally abuse at workers in front of everyone when production targets are not met. The three supervisors from the style and packing lines are especially abusive,” workers said.

Lat War Co., Ltd (3) garment factory, owned by Chinese nationals, is located on Seikkantha Road in Industrial Zone 2, Hlaingtharyar Township, Yangon, and employs more than 1,000 workers.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
Unknown,Unknown,Translate By Kyaw Kyaw Win,"Handa 2 Factory Dispute – 14,000 Kyat Garment Fee Deduction and Unresolved Worker DemandsMar 13, 2026",Labour News,https://www.myanmarlabournews.com/en/posts/handa-2-factory-dispute-14000-kyat-garment-fee-deduction-and-unresolved-worker-demands,"Myo TheinMar 12, 2026

Workers have been staging a collective demand action since March 6 at Handa 2 Yangon Garment Co., Ltd., a factory owned by Chinese nationals located in Shwe Lin Ban Industrial Zone in Hlaingtharyar Township, Yangon Region. The protest will reach its seventh day tomorrow.

Around 1,500 workers are participating in the demands out of approximately 3,000 workers employed at the factory.

A notable aspect of the Handa 2 factory dispute is that the factory is a member of the “MADE” group, which is required to follow European Union standards. In reality, however, workers report facing numerous violations of workplace rights.

Why the Protest Began

The main cause of the conflict stems from the employer demanding unfair production targets and deducting workers’ wages without valid reasons.

The factory has been demanding between 400 and 700 garments per hourfor a production line consisting of 30 workers, placing significant pressure on workers. Despite working under these intense conditions, the 14,000-kyat garment fee that was supposed to be paid when the production target was met was entirely deducted by the factory during wage payment, citing various reasons. As a result, workers suffered serious losses after their wages were cut despite working under heavy pressure.

The demands first began on Friday (March 6), initiated by workers from Line 2 among the factory’s three production line departments.

Demands and Current Situation

At the beginning of the protest, workers presented ten demands, including a wage increase (a daily wage of 12,500 kyat and a monthly attendance bonus of 60,000 kyat), fair payment of overtime wages, and reduced workloads for pregnant workers.

Although the workers’ demands were in accordance with labour laws, the employer’s response was severe. The factory dismissed 21 leading workers from the protest, accusing them of “inciting unrest.”

Instead of negotiating the demands raised by workers, the factory posted dismissal notices for the 21 worker leaders on March 10 and barred them from entering the factory on March 11.

Such actions by a factory that is a member of the MADE group raise serious questions.

The dismissed worker leaders were reinstated by the factory on March 11 as this constituted a violation by the employer.

However, reinstating the 21 leaders only resolved part of the issue. The workers’ main demands regarding wages and workplace conditions remain unresolved to this day.

Relevant labour authorities have been attempting to mediate the protest, but the factory’s lack of concessions has prolonged the dispute.

The workers’ protest demanding wage increases and fair workplace conditions remains tense, leaving more than 3,000 factory workers facing uncertainty about their livelihoods.

The factory produces garments for Japan-based Itochu Retail Link Corporation, and although it claims to operate according to international ethical standards, it remains to be seen how it will address the ongoing worker demands.

To uphold the rule of law needed to improve the social-economic life of the working class in Myanmar. To help the transition to democracy as media role in the workforce gender equity."
