factory_name,allegation_count,latest_date,total_affected,all_issues,buyers,label_child_labour,label_forced_labour,label_discrimination,label_freedom_of_association,label_working_hours,label_compensation,label_osh,label_contracts,factory_lower,os_id,osh_name_matched,match_score
ADK/JW Factory,2,2024-01-09,12000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Business-military collusion', 'Unsafe working conditions', 'Harassment intimidation and abuse']","ALDI South (Reported buyer),Hang Ten (Buyer),Inditex (Reported buyer)",0,1,1,0,1,1,1,0,adk/jw factory,,,
AMG Garment,3,2023-06-21,2301.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse', 'Imprisonment arrests & detention']","ALPS (Buyer),Lidl (Buyer)",0,1,1,1,0,1,1,0,amg garment,,,
AYY Garment,1,2024-09-09,0.0,['Reduced wages and wage theft'],,0,0,0,0,0,1,0,0,ayy garment,,,
Able Better Garment,1,2021-03-31,1.0,"['Harassment intimidation and abuse', 'Gender-based violence and harassment', 'Reduced wages and wage theft']","Cordura (Buyer),Lidl (Reported buyer)",0,1,1,0,0,1,0,0,able better garment,MM2021252SG3S2F,"Able Better Garment Co., Ltd.",95.0
Ace Apparel,1,2024-05-06,1000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,ace apparel,MM20250878S6J0B,ACE Apparel International Company Limited,90.0
Alland Fashion,1,2023-10-20,400.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Child labour', 'Unsafe working conditions', 'Harassment intimidation and abuse']",DeFacto (Buyer),1,1,1,0,1,1,1,0,alland fashion,MM20233437X563X,ALLAND FASHION LIMITED,90.0
Amava Apparel,5,2023-10-25,4000.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Blåkläder (Buyer),Frasers Group (Buyer),Karrimor (Buyer)",0,1,1,1,1,1,1,1,amava apparel,MM2025087MYFS1D,Amava Apparel Limited,90.0
Aqua Shoe Factory,1,2024-10-29,0.0,"['Unsafe working conditions', 'Inhumane work rates and mandatory overtime']",,0,0,0,0,1,0,1,0,aqua shoe factory,,,
Asdet Garment,2,2024-02-18,1200.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Etam Groupe (Buyer),Footmark (Buyer),Lidl (Former buyer),Undiz (part of Etam Groupe) (Buyer)",0,1,1,0,1,1,1,1,asdet garment,,,
BOY Garment,1,2024-08-20,300.0,"['Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions']",Premier (Buyer),0,0,0,0,1,1,1,0,boy garment,,,
Best Choice Garment,4,2024-01-24,1301.0,"['Attacks on freedom of association', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",Voile Bleue (Buyer),0,1,0,1,1,1,1,0,best choice garment,,,
Bofei Garment,3,2024-08-28,840.0,"['Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer),Takko (Reported buyer)",0,1,0,0,1,1,1,0,bofei garment,,,
Bogart Lingerie (Yangon),2,2022-09-10,3500.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","La Senza (part of Limited Brands) (Buyer),SKIMS (Former buyer)",0,0,1,0,1,1,0,0,bogart lingerie (yangon),MM2020079J8HHCP,Bogart Lingerie (Yangon) Ltd. (Facility 2),90.0
Bohua Fashion,8,2024-09-30,2151.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Calliope (Buyer),Cropp (part of LPP S.A) (Reported buyer),LPP Spółka Akcyjna (Reported buyer),Minoti (Reported buyer),NKD (Reported buyer),Reserved (part of LPP Spółka Akcyjna) (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer),Teddy Group (Buyer); Calliope (Buyer),LPP Spółka Akcyjna (Reported buyer),Minoti (Reported buyer),NKD (Reported buyer),Reserved (part of LPP Spółka Akcyjna) (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer),Teddy Group (Buyer); LPP Spółka Akcyjna (Reported buyer),NKD (Reported buyer),Reserved (part of LPP Spółka Akcyjna) (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer); LPP Spółka Akcyjna (Reported buyer),NKD (Reported buyer),Reserved (part of LPP Spółka Akcyjna) (Reported buyer)",1,1,1,1,1,1,1,1,bohua fashion,,,
Bontech Manufacturing,2,2024-09-10,1700.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",Delta Plus (Buyer),0,1,1,0,1,1,1,0,bontech manufacturing,,,
C.K.J MYANMAR GARMENT,1,2022-04-07,500.0,"['Harassment intimidation and abuse', 'Business-military collusion', 'Reduced wages and wage theft']",,0,1,0,0,0,1,0,0,c.k.j myanmar garment,,,
Ceres Enterprise (Myanmar),1,2022-02-04,0.0,"['Gender-based violence and harassment', 'Inhumane work rates and mandatory overtime']",JD Sports Fashion (Former buyer),0,0,1,0,1,0,0,0,ceres enterprise (myanmar),,,
Chang Yi Footwear,1,2021-09-09,8000.0,['Unsafe working conditions'],adidas (Buyer),0,0,0,0,0,0,1,0,chang yi footwear,,,
Charming Garments Manufacturing,3,2022-01-28,1091.0,"['Attacks on freedom of association', 'Unfair dismissal', 'Imprisonment arrests & detention']",Regatta (Former buyer),0,0,0,1,0,0,0,0,charming garments manufacturing,,,
Cheung Hing Myanmar,2,2023-11-25,1300.0,"['Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","Celio (Buyer),Next (Buyer)",0,0,0,0,1,1,1,0,cheung hing myanmar,MM2019083DJ8W6T,Cheung Hing Myanmar Ltd,95.0
