os_id,name,address,lat,lng,number_of_workers,parent_company,facility_type,product_type,is_closed,name_lower
MM20190830AP75X,Myanmar Hao Yang International Garment Co Ltd,No 497 Padauk Street Shwe Lin Pan Industrial Zone Hlaing Thayar Township Yangon Region Yangon,16.90383,96.06276,,,,Women Wear|Men's wear|Kids Wear,False,myanmar hao yang international garment co ltd
MM20190831J3J81,Jewoo Mfg Co Ltd,No 107108  Mya Malar Street  Thaketa Industrial Zone  Thaketa Township  Yaongon,16.8086261,96.2011094,,,,,False,jewoo mfg co ltd
MM201908365SBKK,"Myanmar Postarion Co., Ltd","D/8 - No.3 Main Rd. Minagaldon Industrial Park, Mingalardon, Yangon",16.9410111,96.1556426,,,,Pants|Uniform,False,"myanmar postarion co., ltd"
MM20190837MFMXC,Shwe Zin Aye Garment & General Trading Co-Op Society Ltd,No56 U Pho Hlaing Street Shwe Pauk Kan Industrial Zone North Okkalapa Township Yangon,16.8502222,96.0849574,1001-5000,,,Jackets,False,shwe zin aye garment & general trading co-op society ltd
MM20190837R58ZW,"Gainway International (Myanmar) Garment Co.,Ltd","Plot No.97-98, Pale Street, Myay Taing Block No.51, Thar Du Kan Industrial Zone, Shwepyithar Township, Yangon Region, Myanmar",16.9877186632725,96.0896356553899,1097|1097,GAINWAY INTERNATIONAL (HONGKONG) COMPANY LIMITED,Final Product Assembly,Lingerie|Swimwears,False,"gainway international (myanmar) garment co.,ltd"
MM20190837T3PQ2,Twinkle Light Fashion Company Limited,"Plot No.182-5, Block No.25, corner of Than Chet Wun U Nyunt Street and Bamaw Atwin Wun Street, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region, Myanmar",16.9187958,96.064447,995|995|1240|879|879|1240|995,,,Pants|Coat|Jackets,False,twinkle light fashion company limited
MM201908384ZD3C,Roo Hsing Garment Manufacturing Company Limited,"Plot No.2, Kyan Sittar Street, Hlaingtharya Industrial Zone (3), Hlaingtharya Township, Yangon Region, Myanmar",16.8610069,96.0642396,,,,Pants|Jackets,False,roo hsing garment manufacturing company limited
MM20190839NFYTP,Guotai Guohua Garment Myanmar Ltd,Plot 48 Ngwe Pinlae 2Nd Street Ngwe Pinlae Industrial Zone Hlaing Tharyar Township Yangon,16.9293249,96.0588638,,,,Pants|Jackets,False,guotai guohua garment myanmar ltd
MM2019083A9RJZD,Smooth World International (Myanmar) Ltd,U Paing No 48  Kwin No 1186 (Tharyar Kone Kwin) Tharyar Kone Village  Bago Township Bago Region,17.6469082,96.5621504,,,,Underwear,False,smooth world international (myanmar) ltd
MM2019083BCDEFJ,"YONGAN (MYANMAR) FASHION CO., LTD","U phoe Hlaing Street, Plot No. 409, Shwe Lin Ban Industrial zone  Hlaing Tharyar Township Yangon Yangon",16.9026963,96.0752856,951|260|951,,Final Product Assembly,Pants|Coat|Jackets|Shirt,False,"yongan (myanmar) fashion co., ltd"
MM2019083DHM6NY,Star Team Manufacturing Co Ltd,Plot No 4 U Shwe Myue Street Hlaing Thar Yar Industrial Zone (1) Hlaing Thar Yar Ts Yangon Myannar,16.8546162,96.0833617,,,,,False,star team manufacturing co ltd
MM2019083DJ8W6T,Cheung Hing Myanmar Ltd,No  204205 Nga Moe Yeik Street  War Ta Yar Industry Zone  Shwepyithar Town  Yangon,16.9843734,96.0596798,,,,Clothing,False,cheung hing myanmar ltd
MM2019083DS1DJQ,Jiangsu Holly (Myanmar) Industry Co Ltd,No.26 Mya Street Thar Du Kan Industrial Zone Yangon,16.9879459,96.0830875,,,,Long Jackets|Skirt|Pants,False,jiangsu holly (myanmar) industry co ltd
MM2019083E1QNN1,Rui-Ning ( Myanmar ) Garment Co Ltd,No. 37 Middle Street  Ngwe Pin Lae Industrial Zone Hlaing Thar Town Ship Yangon,16.9301948,96.0614403,,,,,False,rui-ning ( myanmar ) garment co ltd
MM2019083FFBXWK,Handa (Yangon) Garment CoLtd,Plot No. 288 Myay Taing Block No 25 Shwe Lin Pan Industrial Zone Hlaing Thar Yar Township Yangon,16.9190473,96.0738296,881|881,HANWIN INTERNATIONAL (HK) LIMITED.,,Pants|T Shirt|Sweater,False,handa (yangon) garment coltd
MM2019083GKPB8X,SINo.PROUD (MYANMAR) GARMENT Company Limited,"Plot No.05, Oo Shwe Bin Street, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region, Myanmar",16.9186624,96.0546859,,,,,False,sino.proud (myanmar) garment company limited
MM2019083GS56RX,"Glowing & Win Investment Co., Ltd.","Plot No. 272, 273, 276, 277, Zaykabar 6th street, Yangon Industrial Zone (Mingaladone Garden City), MingalardoneTownship, Yangon Region, Myanmar",16.94434,96.18153,1001-5000|1001-5000|1995|1813|2286,"S CHEER HK CO., LIMITED",,Pants|Siki Wear|Jackets,False,"glowing & win investment co., ltd."
MM2019083GVXQYE,"Leader One (Myanmar) Co., Ltd. (Factory)","Kyaik Khauk Pagoda Road, Alwansoot Village, Payakone Village Tract, Thanlyin Industrial Zone, Thanlyin Township, Yangon Region",16.7028388387717,96.2508150277824,1177|1177,,,Garments|Kid Wear|Sweater,False,"leader one (myanmar) co., ltd. (factory)"
MM2019083GX08V1,"Apex Rubber International Co.,Ltd","Plot No.(6), Myawaddy Economic Zone, Myawaddy Township, Myawaddy District, Kayan State, Kayin",16.69557,98.41915,102|102,,,,False,"apex rubber international co.,ltd"
MM2019083H1MDPT,Musung Factory,No 18  Botayza Street  Yanton  Industrial Zone  Mingalardon  Yangon,16.9416364,96.173211,1426|900,,,Jackets|Long Coat,False,musung factory
