factory_name,article_count,latest_article,prevalence_child_labour,prevalence_forced_labour,prevalence_discrimination,prevalence_freedom_of_association,prevalence_working_hours,prevalence_compensation,prevalence_osh,prevalence_contracts,name_lower,os_id,name,address,lat,lng,number_of_workers,is_closed,raw_score,confidence,composite_score,risk_band,rank
Lita Myanmar,10,31/08/2024,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,lita myanmar,,,,,,,,0.9875,0.7057,0.6969,High,1
Bohua Fashion,5,30/11/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bohua fashion,,,,,,,,1.0,0.6418,0.6418,High,2
Myanmar Guotai Huasheng Glory Fashion,3,28/12/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,myanmar guotai huasheng glory fashion,,,,,,,,0.9375,0.5809,0.5446,High,3
Myanmar LNY Caps,4,30/06/2025,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,myanmar lny caps,,,,,,,,0.875,0.6168,0.5397,High,4
Tianjin Fashion Milestone,12,30/01/2026,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,tianjin fashion milestone,,,,,,,,0.75,0.7195,0.5396,High,5
Wonderful Apparel,6,23/10/2023,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,wonderful apparel,,,,,,,,0.8125,0.6605,0.5367,High,6
Sunrise Myanmar,6,30/01/2026,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sunrise myanmar,,,,,,,,0.8125,0.6605,0.5367,High,7
J-Land Myanmar,3,19/07/2024,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,j-land myanmar,,,,,,,,0.8958,0.5809,0.5204,High,8
Eternal Fashion,6,30/01/2026,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.0,eternal fashion,,,,,,,,0.7396,0.6605,0.4885,Medium,9
E&P Fashion,3,25/10/2023,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,e&p fashion,,,,,,,,0.8125,0.5809,0.472,Medium,10
Myanmar Allin Co Ltd,30,31/12/2025,0.1666666666666666,0.6333333333333333,0.7333333333333333,0.5333333333333333,1.0,0.9,0.8,0.2,myanmar allin co ltd,MM2019083HYCAPC,Myanmar Allin Co Ltd,"Plot No.95, 96/Ka, Myay Taing Block No.14, Mingyi Mahar Mingaung Street, Shwe Than Lwin Industrial Zone, Hlaingtharya Township, Yangon region, Myanmar",16.86832,96.0423,,False,0.6021,0.7745,0.4663,Medium,11
Feng Teng Garment,3,31/12/2024,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,feng teng garment,,,,,,,,0.7917,0.5809,0.4599,Medium,12
He MeT,2,19/07/2025,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,he met,,,,,,,,0.875,0.5235,0.4581,Medium,13
Alland Fashion,2,20/05/2025,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,alland fashion,,,,,,,,0.8438,0.5235,0.4417,Medium,14
New Plus,8,27/12/2025,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,new plus,,,,,,,,0.625,0.6872,0.4295,Medium,15
Mengyue Garment,2,09/11/2025,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,mengyue garment,,,,,,,,0.8125,0.5235,0.4253,Medium,16
Dongxin Garment,2,22/05/2025,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dongxin garment,,,,,,,,0.8125,0.5235,0.4253,Medium,17
Huafu Garment,1,18/07/2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,huafu garment,,,,,,,,1.0,0.4094,0.4094,Medium,18
KBL Garment,2,29/02/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,kbl garment,,,,,,,,0.7812,0.5235,0.409,Medium,19
Hope One,3,25/09/2025,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,hope one,,,,,,,,0.6875,0.5809,0.3994,Medium,20
Yuan Hong Garment Company Limited,4,24/02/2026,0.0,0.75,1.0,0.25,1.0,0.75,1.0,0.75,yuan hong garment company limited,MM2025087XK4SWV,Yuan Hong Garment Company Limited,"Plot No (94+95), Block No (25), Shwe Lin Ban Industrial Zone, Hlaing Tharyar Township, Yangon.",16.914015,96.0652719,,False,0.6406,0.6168,0.3951,Medium,21
Myanto Industrial,4,27/12/2025,0.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,myanto industrial,,,,,,,,0.6406,0.6168,0.3951,Medium,22
